seed,test_auc_overall,test_aupr_overall,chemical-connects-disease_auc,chemical-connects-disease_aupr,genetic-connects-disease_auc,genetic-connects-disease_aupr,protein-connects-disease_auc,protein-connects-disease_aupr
72,0.9296462018730491,0.9290609241795524,0.9110946758283811,0.9240531375932861,0.947456995670662,0.9405019988275275,0.8636836628511966,0.8383411956841498
13,0.9157948895826107,0.9108621417483626,0.8852521048150601,0.9075395379309438,0.9445279479965571,0.9240771039226748,0.7294484911550468,0.7884265764176837
98,0.9145311596716384,0.9214501951543567,0.8888898444285825,0.9083561694889002,0.9464774347708791,0.9430608385097282,0.724245577523413,0.7390573514670705
69,0.9199023008440282,0.9173772867676206,0.9097573980271928,0.9245693767093864,0.9380564227078275,0.9252483989061737,0.8709677419354838,0.8385212591789312
81,0.9159590704127645,0.9147921637732361,0.8987280811138534,0.904559677661073,0.9327507354735936,0.9227423573431317,0.9032258064516128,0.9342798387629618
42,0.9222534397040121,0.9167588397800238,0.890412019160482,0.9015355506529419,0.9532958209683842,0.939188767505533,0.7367325702393339,0.7353810228200385
30,0.9272389871661464,0.9197898287861311,0.9108624796828373,0.9058901077517828,0.9438021094281934,0.9289165736831606,0.7783558792924038,0.8449530170061785
84,0.9245987975488495,0.9188315435506651,0.9059304615543382,0.9093151957318233,0.9449904292082578,0.9315917254735483,0.7793964620187305,0.8054279967298905
50,0.928850156087409,0.9315694942754874,0.8999105614846794,0.9220293501598612,0.9553705630708753,0.9442227903641702,0.7877211238293444,0.8048503088203796
92,0.9286900219678574,0.9255107220593174,0.9160481935999862,0.9156660678549233,0.9479194768823628,0.9444068400865533,0.6701352757544223,0.7152396194968664
